"var_in","method","unit_in","var_out","notes"
"spdataset",NA,NA,NA,NA
"dataset",NA,NA,NA,NA
"wrong.sp",NA,NA,NA,NA
"age","?","yr","age",NA
"dbh","?","cm","d.bh",NA
"sapbh",NA,NA,NA,NA
"sapcb",NA,NA,NA,NA
"h_t","?","m","h.t",NA
"h_c","?","m","h.c",NA
"cw","?","m","d.cr",NA
"m_lf","m1,7,t","kg","m.lf",NA
"a_lf","r,t","m2","a.lf",NA
"wbr","?","kg","m.br",NA
"m_st","?","kg","m.st",NA
"a_cs","?","m2","a.cs",NA
"SAcon",NA,NA,NA,NA
"Vell",NA,NA,NA,NA
"sp",NA,NA,"species",NA
"authorname",NA,NA,NA,NA
"reference",NA,NA,NA,NA
"country",NA,NA,NA,NA
"remark",NA,NA,NA,NA
"a_cp","?","m2","a.cp",NA
"a_st","?","m2","a.stbh",NA
"a_ss_dbh",NA,NA,NA,NA
"a_ss_crownbase",NA,NA,NA,NA
