"var_in","method","unit_in","var_out","notes"
"dataset",NA,NA,NA,NA
"location",NA,NA,"location",NA
"latitude",NA,"deg","latitude",NA
"longitude",NA,"deg","longitude",NA
"family",NA,NA,"family",NA
"species",NA,NA,"species",NA
"pft",NA,NA,"pft",NA
"a.lf","a1,e1,a4,x1","m2","a.lf",NA
"a.stbc","?","m2","a.stbc",NA
"h.t","?","m","h.t",NA
"h.c","?","m","h.c",NA
"d.ba","?","m","d.ba",NA
"d.bh","d3","m","d.bh",NA
"m.lf","x1,m4","kg","m.lf",NA
"m.st","j,e2,m4","kg","m.st",NA
"m.so","m4","kg","m.so",NA
"m.br","m4","kg","m.br",NA
"growingCondition",NA,NA,"growingCondition",NA
